Loan_Id,Bank_Name,Loan_Type,Interest_Rate,Age,Gender,Annual_Income,Monthly_Emi,Years_of_Credit_History,Credit_Score,Loan_Amount,Tenure,Margin,Processing_Fee,Rating
53,SBI,Education,8.65,35,1,1487776,10067,17.1,815,3384000,15,90,10000,4.1
54,SBI,Education,8.15,44,0,995714,13940,21.7,811,2966000,15,90,10000,4.1
55,SBI,Automobile,7.35,25,1,1273133,28434,20.5,801,460300,7,90,0,4.1
56,SBI,Home,6.7,28,0,1316434,4377,37.5,822,2829000,30,90,10000,4.1
57,SBI,Education,8.65,57,1,948062,22121,14.5,752,3378000,15,90,10000,4.1
58,SBI,Education,8.65,57,1,1159266,20287,43.4,791,3862000,15,90,10000,4.1
59,SBI,Automobile,7.35,57,0,1116440,14793,13.5,790,372200,7,90,0,4.1
60,SBI,Home,6.8,38,0,967955,14519,14.5,780,3012000,30,90,10000,4.1
61,SBI,Automobile,7.6,32,1,3503106,7590,10.2,717,343200,7,90,0,4.1
62,SBI,Automobile,7.35,42,1,3783660,25508,15.2,811,450300,7,90,0,4.1
63,SBI,Automobile,7.35,49,0,627722,9960,29.2,819,345700,7,90,0,4.1
64,SBI,Education,8.65,35,1,2581663,46470,25.6,811,4826000,15,90,10000,4.1
65,SBI,Automobile,7.6,53,0,1516808,22247,23,733,410300,7,90,0,4.1
66,SBI,Home,6.7,29,0,1520608,17614,17,814,3506000,30,90,10000,4.1
67,SBI,Home,6.7,36,1,1132590,8230,22,817,4362000,30,90,10000,4.1
68,SBI,Automobile,7.35,39,0,1394790,29291,18.2,818,282600,7,90,0,4.1
69,SBI,Education,8.15,51,0,909606,16146,18,808,3317000,15,90,10000,4.1
70,SBI,Automobile,7.35,45,0,1234962,26758,19.5,785,297500,7,90,0,4.1
71,SBI,Home,6.8,44,1,839838,15047,17.5,786,3841000,30,90,10000,4.1
72,SBI,Automobile,7.35,38,0,1888410,10543,16.5,758,483200,7,90,0,4.1
73,SBI,Automobile,7.35,42,0,580260,4507,22.3,813,320700,7,90,0,4.1
74,SBI,Education,8.65,51,1,847400,14406,13.8,784,2929000,15,90,10000,4.1
75,SBI,Education,8.65,43,1,1346891,19530,10.6,806,2838000,15,90,10000,4.1
76,SBI,Education,8.65,57,1,660079,7811,17.9,769,2990000,15,90,10000,4.1
77,SBI,Automobile,7.35,32,1,832428,15677,13.2,800,294200,7,90,0,4.1
78,SBI,Education,8.15,54,0,454214,1060,13.3,817,4359000,15,90,10000,4.1
79,SBI,Automobile,7.35,50,1,1357531,21947,26.2,800,339300,7,90,0,4.1
80,SBI,Education,8.15,52,0,2959136,47099,17,765,4856000,15,90,10000,4.1
81,SBI,Automobile,7.35,53,1,1214746,19841,21.2,797,289300,7,90,0,4.1
82,SBI,Automobile,7.35,47,1,1177848,14173,18.7,786,314300,7,90,0,4.1
83,SBI,Home,6.8,35,1,619609,17504,7.6,767,3182000,30,90,10000,4.1
84,SBI,Education,8.65,46,1,1593036,29737,30.4,713,3847000,15,90,10000,4.1
85,SBI,Education,8.15,24,0,1458136,6938,21,739,3728000,15,90,10000,4.1
86,SBI,Home,6.7,58,1,752248,10325,13.8,808,3161000,30,90,10000,4.1
87,SBI,Education,8.65,42,1,1483881,15086,22.4,820,4606000,15,90,10000,4.1
88,SBI,Education,8.15,37,0,1209977,30451,20.8,723,3731000,15,90,10000,4.1
89,SBI,Automobile,7.35,29,0,2683579,31308,37.3,772,329200,7,90,0,4.1
90,SBI,Education,8.65,53,1,1896390,19912,14,730,3993000,15,90,10000,4.1
91,SBI,Automobile,7.35,47,1,794656,12714,20,776,349900,7,90,0,4.1
92,SBI,Automobile,7.35,34,0,1874920,10453,22.4,781,545700,7,90,0,4.1
93,SBI,Home,6.8,40,1,1550362,29845,18,776,4146000,30,90,10000,4.1
94,SBI,Home,6.7,58,1,310783,389,30.4,814,4664000,30,90,10000,4.1
95,SBI,Automobile,7.35,43,0,1137606,6598,16.3,795,286500,7,90,0,4.1
96,SBI,Education,8.15,44,0,782686,13893,6.4,742,3926000,15,90,10000,4.1
97,SBI,Education,8.15,52,0,661808,14725,13.7,790,3567000,15,90,10000,4.1
98,SBI,Education,8.65,26,1,1995399,31261,24.5,789,4143000,15,90,10000,4.1
99,SBI,Home,6.8,52,0,775276,14537,9.8,798,3527000,30,90,10000,4.1
100,SBI,Education,8.65,56,1,2406825,22464,13.6,813,6564000,15,90,10000,4.1
101,SBI,Home,6.7,42,1,1773517,36062,31.4,817,3926000,30,90,10000,4.1
102,SBI,Home,6.7,42,1,1316814,13870,22.1,801,3149000,30,90,10000,4.1
103,SBI,Automobile,7.35,57,1,966530,15142,10.3,794,321600,7,90,0,4.1
104,SBI,Home,6.7,41,1,1955309,22160,19.2,819,4076000,30,90,10000,4.1
105,SBI,Home,6.8,38,0,755060,15227,14.3,778,3588000,30,90,10000,4.1
106,SBI,Automobile,7.35,42,1,1556974,33345,26,763,323100,7,90,0,4.1
107,SBI,Education,8.15,55,0,1736505,29810,30.1,708,4881000,15,90,10000,4.1
108,SBI,Automobile,7.35,54,1,728992,15430,21.5,816,384400,7,90,0,4.1
109,SBI,Education,8.65,59,1,1597558,23697,25,818,4820000,15,90,10000,4.1
110,SBI,Home,6.8,51,1,858458,9586,14.8,783,2884000,30,90,10000,4.1
111,SBI,Education,8.65,25,1,557745,8320,16.1,795,3256000,15,90,10000,4.1
112,SBI,Education,8.15,52,0,739898,7646,10.5,817,3140000,15,90,10000,4.1
113,SBI,Home,6.7,40,0,2396147,36541,15.7,808,3850000,30,90,10000,4.1
114,SBI,Home,6.7,46,1,1530583,21683,22.1,812,4804000,30,90,10000,4.1
115,SBI,Automobile,7.35,40,0,1308929,20288,14.8,785,304200,7,90,0,4.1
116,SBI,Home,6.8,31,0,805391,18793,17.9,777,3756000,30,90,10000,4.1
117,SBI,Home,6.7,55,0,1456217,20023,14.7,816,3445000,30,90,10000,4.1
118,SBI,Education,8.15,45,0,1553744,27967,28.5,807,5170000,15,90,10000,4.1
119,SBI,Automobile,7.35,35,1,1849023,27735,11.8,813,451500,7,90,0,4.1
120,SBI,Education,8.15,30,0,1685547,18682,13.6,814,3185000,15,90,10000,4.1
121,SBI,Education,8.15,36,0,584934,872,16.2,777,3198000,15,90,10000,4.1
122,SBI,Automobile,7.35,32,0,786695,7605,17.5,807,469500,7,90,0,4.1
123,SBI,Automobile,7.35,54,1,2032506,27608,18.2,813,413700,7,90,0,4.1
124,SBI,Automobile,7.35,38,0,1941610,26697,22.2,782,359400,7,90,0,4.1
125,SBI,Education,8.15,46,0,894349,21092,13.8,668,3475000,15,90,10000,4.1
126,SBI,Education,8.65,26,1,1465394,35414,15.2,778,4396000,15,90,10000,4.1
127,SBI,Education,8.65,30,1,2393525,21143,18.3,782,4390000,15,90,10000,4.1
128,SBI,Home,6.7,52,0,3152157,11164,20.6,812,3283000,30,90,10000,4.1
129,SBI,Home,6.8,54,0,1977254,45312,22.6,776,5152000,30,90,10000,4.1
130,SBI,Education,8.65,30,1,765700,10337,21.7,742,3841000,15,90,10000,4.1
131,SBI,Home,6.7,52,0,1063715,7694,13.6,801,2874000,30,90,10000,4.1
132,SBI,Home,6.9,35,0,3223445,24740,15.1,698,4884000,30,90,10000,4.1
133,SBI,Automobile,7.35,38,0,805068,7782,17.4,782,314000,7,90,0,4.1
134,SBI,Automobile,7.6,44,0,1320690,25644,15.3,750,369800,7,90,0,4.1
135,SBI,Home,6.7,48,1,928511,14547,15.9,805,2881000,30,90,10000,4.1
136,SBI,Automobile,7.35,29,0,2012803,53339,17,776,573400,7,90,0,4.1
137,SBI,Automobile,7.35,56,1,2329875,21551,22.6,791,381400,7,90,0,4.1
138,SBI,Home,6.8,57,0,375858,9334,11.7,765,4786000,30,90,10000,4.1
139,SBI,Automobile,7.35,28,1,431034,7708,11.4,763,493900,7,90,0,4.1
140,SBI,Home,6.8,45,0,1217843,11468,13.4,769,3408000,30,90,10000,4.1
141,SBI,Automobile,7.35,50,1,597303,5475,12.8,801,282900,7,90,0,4.1
142,SBI,Home,6.8,59,1,580222,14070,19.1,779,3158000,30,90,10000,4.1
143,SBI,Education,8.15,29,0,1436552,36512,16.3,805,3579000,15,90,10000,4.1
144,SBI,Automobile,7.35,58,0,948214,18727,8.5,802,357900,7,90,0,4.1
145,SBI,Education,8.65,24,1,1772339,34413,19.2,806,3948000,15,90,10000,4.1
146,SBI,Home,6.8,26,1,1311114,12674,8.4,776,2926000,30,90,10000,4.1
147,SBI,Home,6.8,49,1,728061,4538,28.9,769,2835000,30,90,10000,4.1
148,SBI,Home,6.7,44,0,1259947,24989,15.4,802,2841000,30,90,10000,4.1
149,SBI,Automobile,7.35,31,0,1025924,7395,17.9,774,304500,7,90,0,4.1
150,SBI,Home,6.8,40,0,1555416,12599,21.2,778,3323000,30,90,10000,4.1
151,SBI,Automobile,7.35,32,1,1381813,38230,17.7,769,426800,7,90,0,4.1
152,SBI,Automobile,7.6,28,0,1700424,20689,31.5,717,353600,7,90,0,4.1
153,SBI,Automobile,7.35,37,0,846944,15457,41.4,817,418500,7,90,0,4.1
154,SBI,Automobile,7.35,29,1,993111,8226,15.4,807,322500,7,90,0,4.1
155,SBI,Home,6.8,49,0,768740,17168,14.4,777,3176000,30,90,10000,4.1
156,SBI,Education,8.65,58,1,1172908,2258,20.8,817,4423000,15,90,10000,4.1
157,SBI,Home,6.7,29,0,465006,3755,10.3,801,2993000,30,90,10000,4.1
158,SBI,Automobile,7.35,39,0,676305,10764,12.5,811,319500,7,90,0,4.1
159,SBI,Education,8.65,46,1,1386050,22639,17,807,3414000,15,90,10000,4.1
160,SBI,Education,8.15,25,0,2097828,23076,23,820,3499000,15,90,10000,4.1
161,SBI,Automobile,7.6,51,0,1788983,13537,15.5,729,409400,7,90,0,4.1
162,SBI,Home,6.8,54,1,1704452,20169,22.6,789,5234000,30,90,10000,4.1
163,SBI,Home,6.8,39,1,1024043,17153,14.9,776,3246000,30,90,10000,4.1
164,SBI,Home,6.7,27,1,1684407,12226,14.7,802,4100000,30,90,10000,4.1
165,SBI,Home,6.7,56,1,1354871,6154,16.9,815,3865000,30,90,10000,4.1
166,SBI,Home,6.8,49,0,2858835,22799,12.5,781,3170000,30,90,10000,4.1
167,SBI,Home,6.8,57,1,1162686,25773,9.7,774,3865000,30,90,10000,4.1
168,SBI,Automobile,7.35,59,1,484747,8887,10.2,811,306700,7,90,0,4.1
169,SBI,Automobile,7.35,55,1,1243531,24560,9.5,797,317300,7,90,0,4.1
170,SBI,Automobile,7.35,40,0,2465554,20135,26,815,410600,7,90,0,4.1
171,SBI,Home,6.8,26,0,1581731,28339,23.7,772,3896000,30,90,10000,4.1
172,SBI,Education,8.15,26,0,382508,6216,5.9,743,4908000,15,90,10000,4.1
173,SBI,Automobile,7.35,29,0,609634,6401,27.7,815,317000,7,90,0,4.1
174,SBI,Automobile,7.35,38,0,1470429,30389,11.8,803,316400,7,90,0,4.1
175,SBI,Home,6.8,45,1,1214423,27932,20.2,766,3570000,30,90,10000,4.1
176,SBI,Automobile,7.35,37,0,637089,6796,17,788,297500,7,90,0,4.1
177,SBI,Education,8.65,38,1,1551920,14097,22.6,800,2890000,15,90,10000,4.1
178,SBI,Automobile,7.35,25,1,1713420,6625,33.1,816,523100,7,90,0,4.1
179,SBI,Home,6.7,39,1,1401782,16821,18,821,4786000,30,90,10000,4.1
180,SBI,Automobile,7.35,45,1,1271100,15571,31.8,815,316700,7,90,0,4.1
181,SBI,Home,6.7,42,1,1047622,2706,13.1,817,5182000,30,90,10000,4.1
182,SBI,Automobile,7.35,59,0,1166942,24603,17.2,790,352400,7,90,0,4.1
183,SBI,Automobile,7.35,48,0,1663089,33401,12,816,488100,7,90,0,4.1
184,SBI,Education,8.65,24,1,743584,7808,10.8,800,3286000,15,90,10000,4.1
185,SBI,Home,6.8,55,1,2808352,22982,33.8,799,4844000,30,90,10000,4.1
186,SBI,Automobile,7.6,33,0,2982183,45727,34.1,734,382000,7,90,0,4.1
187,SBI,Home,6.7,59,1,859617,15187,26.5,811,2887000,30,90,10000,4.1
188,SBI,Automobile,7.35,35,1,1320823,30379,22.3,820,356400,7,90,0,4.1
189,SBI,Automobile,7.35,45,1,1799680,14502,23.3,786,705000,7,90,0,4.1
190,SBI,Education,8.65,27,1,1441967,3653,25.9,799,3176000,15,90,10000,4.1
191,SBI,Home,6.8,54,1,949335,10364,15.8,771,3972000,30,90,10000,4.1
192,SBI,Home,6.7,50,1,1867510,35950,10.1,816,3856000,30,90,10000,4.1
193,SBI,Home,6.7,37,0,523697,12481,9,817,2893000,30,90,10000,4.1
194,SBI,Automobile,7.35,49,0,965827,13441,19.7,776,396600,7,90,0,4.1
195,SBI,Education,8.15,58,0,754224,14204,28,816,3030000,15,90,10000,4.1
196,SBI,Education,8.15,29,0,2524416,10666,20,812,5213000,15,90,10000,4.1
197,SBI,Education,8.65,34,1,1719918,23119,25.3,820,5271000,15,90,10000,4.1
198,SBI,Automobile,7.35,46,1,1795443,24538,10.9,762,328000,7,90,0,4.1
199,SBI,Automobile,7.6,58,0,2020935,25093,28.7,721,388400,7,90,0,4.1
200,SBI,Education,8.15,24,0,616341,7915,16,812,3378000,15,90,10000,4.1
201,SBI,Home,6.8,51,0,1417590,33668,18,774,4734000,30,90,10000,4.1
202,SBI,Home,6.7,46,1,1336669,14146,38.7,807,3673000,30,90,10000,4.1
203,SBI,Automobile,7.35,42,0,946276,18452,17.6,812,365800,7,90,0,4.1
204,SBI,Education,8.65,42,1,861764,20826,10.9,806,2972000,15,90,10000,4.1
205,SBI,Automobile,7.35,30,1,584706,9404,10,799,515200,7,90,0,4.1
206,SBI,Education,8.15,26,0,1121988,6470,16.9,771,4374000,15,90,10000,4.1
207,SBI,Education,8.65,55,1,1505560,26724,10.5,715,3826000,15,90,10000,4.1
208,SBI,Education,8.65,24,1,1123014,15273,17.8,770,3554000,15,90,10000,4.1
209,SBI,Education,8.15,59,0,947131,576,30.7,787,2838000,15,90,10000,4.1
210,SBI,Education,8.65,39,1,1724155,19727,18,783,4838000,15,90,10000,4.1
211,SBI,Automobile,7.35,59,1,1115262,24350,9.5,784,401800,7,90,0,4.1
212,SBI,Home,6.8,56,0,853803,5898,29.4,774,3368000,30,90,10000,4.1
213,SBI,Education,8.65,48,1,1897340,3162,19.4,782,3054000,15,90,10000,4.1
214,SBI,Home,6.7,24,0,1410997,17873,12.1,802,2990000,30,90,10000,4.1
215,SBI,Home,6.9,26,1,1039338,16196,17.7,717,3649000,30,90,10000,4.1
216,SBI,Education,8.15,32,0,741228,14083,19.2,723,3442000,15,90,10000,4.1
217,SBI,Automobile,7.35,57,0,1154136,15196,6.5,801,317600,7,90,0,4.1
218,SBI,Automobile,7.35,55,1,2777325,31014,22,802,317300,7,90,0,4.1
219,SBI,Home,6.9,43,1,611154,14566,10.9,731,3173000,30,90,10000,4.1
220,SBI,Home,6.8,27,1,813010,25135,14.1,761,2942000,30,90,10000,4.1
221,SBI,Education,8.65,57,1,552843,13729,16.7,773,4634000,15,90,10000,4.1
222,SBI,Home,6.9,53,0,682499,2616,12,728,3240000,30,90,10000,4.1
223,SBI,Education,8.15,45,0,606176,1763,9.5,730,5152000,15,90,10000,4.1
224,SBI,Home,6.7,37,1,1428477,15475,27.7,821,4341000,30,90,10000,4.1
225,SBI,Automobile,7.35,57,0,696749,15851,14.5,795,320700,7,90,0,4.1
226,SBI,Automobile,7.35,53,1,1058794,3141,19.3,769,289900,7,90,0,4.1
227,SBI,Education,8.65,40,1,2232576,26047,17.7,779,4469000,15,90,10000,4.1
228,SBI,Automobile,7.35,50,1,2071836,51623,21.3,795,304500,7,90,0,4.1
229,SBI,Automobile,7.35,41,1,786904,7672,27.9,818,315800,7,90,0,4.1
230,SBI,Home,6.7,38,0,1582852,32317,17.6,811,3030000,30,90,10000,4.1
231,SBI,Education,8.15,33,0,4766644,24151,18.9,811,3426000,15,90,10000,4.1
232,SBI,Education,8.65,59,1,1645039,24950,17.5,766,4274000,15,90,10000,4.1
233,SBI,Automobile,7.35,56,0,375706,11960,17.7,764,481700,7,90,0,4.1
234,SBI,Automobile,7.35,54,0,804859,18042,16.7,774,317300,7,90,0,4.1
235,SBI,Home,6.7,54,0,528998,15032,22.5,805,3082000,30,90,10000,4.1
236,SBI,Education,8.65,46,1,874418,15958,16.9,789,3878000,15,90,10000,4.1
237,SBI,Home,6.8,35,0,1758241,43223,15,781,3314000,30,90,10000,4.1
238,SBI,Home,6.8,34,1,1135212,15609,20.3,798,3567000,30,90,10000,4.1
239,SBI,Home,6.7,37,1,847476,6462,30,811,3304000,30,90,10000,4.1
240,SBI,Home,6.8,53,1,2227180,2765,21,772,3524000,30,90,10000,4.1
241,SBI,Home,6.7,37,0,1901330,16637,15,812,4085000,30,90,10000,4.1
242,SBI,Education,8.65,47,1,1178646,12769,10.1,804,2905000,15,90,10000,4.1
243,SBI,Education,8.15,44,0,563160,13281,12.1,734,3039000,15,90,10000,4.1
244,SBI,Education,8.15,42,0,836475,18960,14,791,3018000,15,90,10000,4.1
245,SBI,Home,6.8,50,0,1508600,29292,16.1,758,4527000,30,90,10000,4.1
246,SBI,Home,6.8,33,1,1360742,317,15.8,790,3164000,30,90,10000,4.1
247,SBI,Education,8.65,47,1,1539152,17059,18.7,805,5515000,15,90,10000,4.1
248,SBI,Automobile,7.35,30,0,1317498,24813,11,771,335300,7,90,0,4.1
249,SBI,Home,6.7,43,1,1279593,11943,21.5,819,2896000,30,90,10000,4.1
250,SBI,Automobile,7.35,26,0,2328925,40562,27.6,818,671900,7,90,0,4.1
251,SBI,Home,6.7,44,0,296951,3811,17.5,811,5518000,30,90,10000,4.1
252,SBI,Home,6.8,45,0,1500088,18626,17,756,4024000,30,90,10000,4.1
253,SBI,Education,8.15,41,0,3041520,28134,8,680,4673000,15,90,10000,4.1
254,SBI,Home,6.8,58,1,1828560,28343,16.4,797,4850000,30,90,10000,4.1
255,SBI,Education,8.15,33,0,1023131,13301,12,816,2966000,15,90,10000,4.1
256,SBI,Education,8.15,28,0,1711463,14975,19.7,736,5167000,15,90,10000,4.1
257,SBI,Home,6.7,25,1,651377,11073,34.8,822,2826000,30,90,10000,4.1
258,SBI,Home,6.8,35,1,555788,8059,14,793,2844000,30,90,10000,4.1
259,SBI,Home,6.9,47,0,938695,11421,19.7,737,3161000,30,90,10000,4.1
260,SBI,Education,8.65,51,1,847913,3413,9.9,799,2896000,15,90,10000,4.1
261,SBI,Education,8.65,53,1,1788736,15055,19.3,788,3185000,15,90,10000,4.1
262,SBI,Home,6.8,34,0,392502,5037,10.9,784,2960000,30,90,10000,4.1
263,SBI,Education,8.15,54,0,658160,11024,20.5,791,3164000,15,90,10000,4.1
264,SBI,Education,8.15,30,0,1289302,23315,22.1,804,2987000,15,90,10000,4.1
265,SBI,Education,8.65,56,1,1878948,59187,16,671,3320000,15,90,10000,4.1
266,SBI,Education,8.15,35,0,273695,4630,22.5,746,4237000,15,90,10000,4.1
267,SBI,Education,8.65,49,1,1396785,10057,16.6,798,4765000,15,90,10000,4.1
268,SBI,Education,8.65,27,1,1206975,17501,16.6,782,3701000,15,90,10000,4.1
269,SBI,Education,8.65,47,1,648185,7184,20.9,805,3640000,15,90,10000,4.1
270,SBI,Automobile,7.6,28,1,969475,2270,20.8,684,312100,7,90,0,4.1
271,SBI,Education,8.15,47,0,1154364,29532,12.1,807,3469000,15,90,10000,4.1
272,SBI,Automobile,7.6,31,0,1714484,48291,31.8,714,482600,7,90,0,4.1
273,SBI,Home,6.8,30,0,958740,8709,11.6,781,4085000,30,90,10000,4.1
274,SBI,Automobile,7.35,47,1,2247624,7043,10.2,814,289600,7,90,0,4.1
275,SBI,Home,6.8,40,0,1215810,13273,18.7,780,3963000,30,90,10000,4.1
276,SBI,Education,8.15,34,0,1208609,34143,17.6,760,4512000,15,90,10000,4.1
277,SBI,Education,8.15,42,0,3508483,16431,23.7,787,4841000,15,90,10000,4.1
278,SBI,Automobile,7.6,45,1,1470448,37129,17.8,704,416100,7,90,0,4.1
279,SBI,Automobile,7.35,52,0,742824,5218,11.8,801,405400,7,90,0,4.1
280,SBI,Home,6.7,24,0,2091881,25625,20.5,813,3801000,30,90,10000,4.1
281,SBI,Automobile,7.35,36,1,729429,6747,20.2,805,391400,7,90,0,4.1
282,SBI,Home,6.8,58,0,1826204,29219,15.7,790,4512000,30,90,10000,4.1
283,SBI,Automobile,7.35,34,1,2022341,32189,20.9,808,351800,7,90,0,4.1
284,SBI,Education,8.15,44,0,1917480,36911,23.6,801,4530000,15,90,10000,4.1
285,SBI,Automobile,7.35,57,1,926041,28476,17.3,760,324600,7,90,0,4.1
286,SBI,Education,8.65,51,1,1137492,16589,17.6,766,4271000,15,90,10000,4.1
287,SBI,Home,6.8,26,0,1060675,23512,18.6,766,3314000,30,90,10000,4.1
288,SBI,Education,8.15,35,0,1235095,21202,16,789,4134000,15,90,10000,4.1
289,SBI,Home,6.8,28,0,798380,10512,30.6,760,3612000,30,90,10000,4.1
290,SBI,Automobile,7.35,40,0,1156701,14652,16.3,801,336200,7,90,0,4.1
291,SBI,Automobile,7.35,41,0,865868,5159,13.9,800,451200,7,90,0,4.1
292,SBI,Automobile,7.35,36,0,957695,15882,18.3,791,371600,7,90,0,4.1
293,SBI,Automobile,7.35,28,1,1062556,10094,13.3,805,399900,7,90,0,4.1
294,SBI,Education,8.65,49,1,926440,20768,11.2,773,4451000,15,90,10000,4.1
295,SBI,Home,6.8,40,1,2050499,30928,20,786,2963000,30,90,10000,4.1
296,SBI,Home,6.8,47,1,1830745,14234,9.8,780,3466000,30,90,10000,4.1
297,SBI,Home,6.9,44,1,886065,16835,19.4,726,3871000,30,90,10000,4.1
298,SBI,Home,6.8,24,1,1306801,5314,10.3,779,3094000,30,90,10000,4.1
299,SBI,Automobile,7.35,47,1,1678023,11634,23.2,819,572800,7,90,0,4.1
300,SBI,Education,8.15,31,0,1041105,13239,26,815,4024000,15,90,10000,4.1
301,SBI,Education,8.15,40,0,1062442,28863,14.4,716,4131000,15,90,10000,4.1
302,SBI,Home,6.9,37,0,1084919,24772,24.5,741,4259000,30,90,10000,4.1
303,SBI,Education,8.65,25,1,563673,15971,8.5,793,3286000,15,90,10000,4.1
304,SBI,Automobile,7.35,30,0,1033201,7852,14.2,773,448100,7,90,0,4.1
305,SBI,Home,6.7,32,1,1039319,8921,11.4,817,3899000,30,90,10000,4.1
306,SBI,Home,6.8,29,0,2434147,21502,27.5,781,6057000,30,90,10000,4.1
307,SBI,Education,8.15,33,0,1521672,40451,19.7,785,4176000,15,90,10000,4.1
308,SBI,Home,6.8,41,0,688028,13589,25,762,3509000,30,90,10000,4.1
309,SBI,Automobile,7.35,56,1,930905,12878,16.5,815,512100,7,90,0,4.1
310,SBI,Education,8.15,33,0,476995,8427,13.6,784,5182000,15,90,10000,4.1
311,SBI,Automobile,7.35,52,0,867825,12150,17,794,314600,7,90,0,4.1
